year,athlete_id,round_id,finish_time_seconds,rank_id
2002,1,round 1,44.546,1
2002,1,round 2,44.521,2
2002,1,round 3,44.296,2
2002,1,round 4,44.578,1
2002,2,round 1,44.614,2
2002,2,round 2,44.494,1
2002,2,round 3,44.487,6
2002,2,round 4,44.675,2
2002,3,round 1,44.698,4
2002,3,round 2,44.640,3
2002,3,round 3,44.271,1
2002,3,round 4,44.674,3
2002,4,round 1,44.660,3
2002,4,round 2,44.750,5
2002,4,round 3,44.421,4
2002,4,round 4,44.775,4
2002,5,round 1,44.756,6
2002,5,round 2,44.732,4
2002,5,round 3,44.534,7
2002,5,round 4,44.974,5
2002,6,round 1,44.718,5
2002,6,round 2,44.767,6
2002,6,round 3,44.467,5
2002,6,round 4,45.094,6
2002,7,round 1,44.846,8
2002,7,round 2,44.874,10
2002,7,round 3,44.417,3
2002,7,round 4,45.017,7
2002,8,round 1,44.875,10
2002,8,round 2,44.857,9
2002,8,round 3,44.558,9
2002,8,round 4,44.921,8
2002,9,round 1,44.851,9
2002,9,round 2,44.814,8
2002,9,round 3,44.611,10
2002,9,round 4,45.043,9
2002,10,round 1,45.034,15
2002,10,round 2,45.076,17
2002,10,round 3,44.626,11
2002,10,round 4,44.901,10
2002,11,round 1,44.945,12
2002,11,round 2,44.922,11
2002,11,round 3,44.712,13
2002,11,round 4,45.144,11
2002,12,round 1,44.927,11
2002,12,round 2,44.801,7
2002,12,round 3,44.814,19
2002,12,round 4,45.212,12
2002,13,round 1,45.101,17
2002,13,round 2,45.254,23
2002,13,round 3,44.534,7
2002,13,round 4,44.911,13
2002,14,round 1,45.116,19
2002,14,round 2,45.145,19
2002,14,round 3,44.651,12
2002,14,round 4,45.088,14
2002,15,round 1,44.999,13
2002,15,round 2,45.025,14
2002,15,round 3,44.766,16
2002,15,round 4,45.243,15
2002,16,round 1,45.104,18
2002,16,round 2,45.017,13
2002,16,round 3,44.762,15
2002,16,round 4,45.180,16
2002,17,round 1,44.776,7
2002,17,round 2,45.653,29
2002,17,round 3,44.787,17
2002,17,round 4,44.886,17
2002,18,round 1,45.240,21
2002,18,round 2,45.009,12
2002,18,round 3,44.869,20
2002,18,round 4,45.060,18
2002,19,round 1,45.051,16
2002,19,round 2,45.169,20
2002,19,round 3,44.756,14
2002,19,round 4,45.245,19
2002,20,round 1,45.333,22
2002,20,round 2,45.034,15
2002,20,round 3,44.796,18
2002,20,round 4,45.102,20
2002,21,round 1,45.156,20
2002,21,round 2,45.131,18
2002,21,round 3,45.010,22
2002,21,round 4,45.271,21
2002,22,round 1,45.335,23
2002,22,round 2,45.389,26
2002,22,round 3,44.904,21
2002,22,round 4,45.061,22
2002,23,round 1,45.455,26
2002,23,round 2,45.189,21
2002,23,round 3,45.081,25
2002,23,round 4,45.561,23
2002,24,round 1,46.220,33
2002,24,round 2,45.053,16
2002,24,round 3,45.079,24
2002,24,round 4,44.959,24
2002,25,round 1,45.391,24
2002,25,round 2,45.509,27
2002,25,round 3,45.107,26
2002,25,round 4,45.559,25
2002,26,round 1,45.439,25
2002,26,round 2,45.309,25
2002,26,round 3,45.726,29
2002,26,round 4,45.619,26
2002,27,round 1,45.905,29
2002,27,round 2,45.260,24
2002,27,round 3,45.283,27
2002,27,round 4,45.651,27
2002,28,round 1,46.624,36
2002,28,round 2,45.228,22
2002,28,round 3,45.064,23
2002,28,round 4,45.298,28
2002,29,round 1,45.898,28
2002,29,round 2,45.644,28
2002,29,round 3,45.446,28
2002,29,round 4,45.716,29
2002,30,round 1,46.659,37
2002,30,round 2,45.932,30
2002,30,round 3,46.001,33
2002,30,round 4,45.681,30
2002,31,round 1,46.167,31
2002,31,round 2,46.097,33
2002,31,round 3,45.818,32
2002,31,round 4,46.231,31
2002,32,round 1,46.176,32
2002,32,round 2,46.203,34
2002,32,round 3,46.080,34
2002,32,round 4,46.155,32
2002,33,round 1,45.881,27
2002,33,round 2,45.977,31
2002,33,round 3,46.700,40
2002,33,round 4,46.425,33
2002,34,round 1,46.486,35
2002,34,round 2,46.346,36
2002,34,round 3,46.115,35
2002,34,round 4,46.352,34
2002,35,round 1,47.207,42
2002,35,round 2,46.333,35
2002,35,round 3,45.803,31
2002,35,round 4,46.475,35
2002,36,round 1,46.942,38
2002,36,round 2,47.245,41
2002,36,round 3,46.558,38
2002,36,round 4,46.454,36
2002,37,round 1,47.015,39
2002,37,round 2,48.690,45
2002,37,round 3,45.769,30
2002,37,round 4,46.298,37
2002,38,round 1,47.161,40
2002,38,round 2,47.353,42
2002,38,round 3,46.604,39
2002,38,round 4,46.825,38
2002,39,round 1,47.193,41
2002,39,round 2,46.676,37
2002,39,round 3,47.627,43
2002,39,round 4,46.579,39
2002,40,round 1,47.234,43
2002,40,round 2,47.071,40
2002,40,round 3,46.934,42
2002,40,round 4,47.039,40
2002,41,round 1,48.180,46
2002,41,round 2,47.819,44
2002,41,round 3,48.533,45
2002,41,round 4,48.276,41
2002,42,round 1,46.159,30
2002,42,round 2,47.656,43
2002,42,round 3,47.800,44
2002,42,round 4,52.190,42
2002,43,round 1,47.314,44
2002,43,round 2,46.931,38
2002,43,round 3,46.883,41
2002,43,round 4,53.431,43
2002,44,round 1,56.608,49
2002,44,round 2,46.096,32
2002,44,round 3,46.299,36
2002,44,round 4,46.324,44
2002,45,round 1,46.309,34
2002,45,round 2,46.977,39
2002,45,round 3,46.464,37
2002,45,round 4,56.897,45
2002,46,round 1,47.773,45
2002,46,round 2,50.036,48
2002,46,round 3,53.349,48
2002,46,round 4,48.742,46
2002,47,round 1,49.602,47
2002,47,round 2,50.328,49
2002,47,round 3,52.277,47
2002,47,round 4,51.509,47
2002,48,round 1,55.390,48
2002,48,round 2,49.092,46
2002,48,round 3,51.888,46
2002,48,round 4,49.616,48
2002,49,round 1,45.022,14
2002,49,round 2,49.671,47
2002,49,round 3,NaN,NaN
2002,49,round 4,NaN,NaN
2002,50,round 1,NaN,NaN
2002,50,round 2,NaN,NaN
2002,50,round 3,NaN,NaN
2002,50,round 4,NaN,NaN
2006,1,round 1,51.718,1
2006,1,round 2,51.414,1
2006,1,round 3,51.430,2
2006,1,round 4,51.526,5
2006,5,round 1,51.747,2
2006,5,round 2,51.543,6
2006,5,round 3,51.396,1
2006,5,round 4,51.512,3
2006,51,round 1,51.913,5
2006,51,round 2,51.497,4
2006,51,round 3,51.561,3
2006,51,round 4,51.474,2
2006,17,round 1,51.907,4
2006,17,round 2,51.458,2
2006,17,round 3,51.674,7
2006,17,round 4,51.559,6
2006,52,round 1,52.085,8
2006,52,round 2,51.533,5
2006,52,round 3,51.655,5
2006,52,round 4,51.655,1
2006,53,round 1,52.103,10
2006,53,round 2,51.469,3
2006,53,round 3,51.656,6
2006,53,round 4,51.515,4
2006,2,round 1,51.856,3
2006,2,round 2,51.583,7
2006,2,round 3,51.806,8
2006,2,round 4,51.674,7
2006,12,round 1,51.926,6
2006,12,round 2,51.696,8
2006,12,round 3,51.647,4
2006,12,round 4,51.733,8
2006,8,round 1,52.140,11
2006,8,round 2,51.767,10
2006,8,round 3,51.841,9
2006,8,round 4,51.839,10
2006,9,round 1,52.095,9
2006,9,round 2,51.748,9
2006,9,round 3,51.848,10
2006,9,round 4,51.984,14
2006,20,round 1,52.050,7
2006,20,round 2,52.150,19
2006,20,round 3,51.981,11
2006,20,round 4,51.884,12
2006,10,round 1,52.200,12
2006,10,round 2,51.880,11
2006,10,round 3,52.234,17
2006,10,round 4,51.800,9
2006,54,round 1,52.317,14
2006,54,round 2,52.103,16
2006,54,round 3,52.058,13
2006,54,round 4,51.882,11
2006,55,round 1,52.382,15
2006,55,round 2,52.027,13
2006,55,round 3,52.013,12
2006,55,round 4,51.939,13
2006,13,round 1,52.459,17
2006,13,round 2,51.989,12
2006,13,round 3,52.124,15
2006,13,round 4,52.212,17
2006,56,round 1,52.610,19
2006,56,round 2,52.130,18
2006,56,round 3,52.093,14
2006,56,round 4,52.150,15
2006,57,round 1,52.432,16
2006,57,round 2,52.063,14
2006,57,round 3,52.391,22
2006,57,round 4,52.402,23
2006,58,round 1,52.579,18
2006,58,round 2,52.267,20
2006,58,round 3,52.230,16
2006,58,round 4,52.332,20
2006,59,round 1,52.663,20
2006,59,round 2,52.523,25
2006,59,round 3,52.360,21
2006,59,round 4,52.311,18
2006,60,round 1,52.795,25
2006,60,round 2,52.449,22
2006,60,round 3,52.498,25
2006,60,round 4,52.366,21
2006,61,round 1,52.769,21
2006,61,round 2,52.338,21
2006,61,round 3,52.307,20
2006,61,round 4,52.742,27
2006,62,round 1,52.769,21
2006,62,round 2,52.517,24
2006,62,round 3,52.525,26
2006,62,round 4,52.386,22
2006,63,round 1,53.669,29
2006,63,round 2,52.675,26
2006,63,round 3,52.306,19
2006,63,round 4,52.539,25
2006,64,round 1,54.164,33
2006,64,round 2,52.468,23
2006,64,round 3,52.473,24
2006,64,round 4,52.790,28
2006,33,round 1,53.729,30
2006,33,round 2,52.972,28
2006,33,round 3,52.696,27
2006,33,round 4,52.540,26
2006,65,round 1,53.141,26
2006,65,round 2,53.073,29
2006,65,round 3,53.039,29
2006,65,round 4,53.072,30
2006,66,round 1,53.262,27
2006,66,round 2,53.667,31
2006,66,round 3,52.964,28
2006,66,round 4,52.930,29
2006,67,round 1,53.939,32
2006,67,round 2,53.605,30
2006,67,round 3,53.977,31
2006,67,round 4,53.620,33
2006,42,round 1,53.748,31
2006,42,round 2,54.961,32
2006,42,round 3,53.528,30
2006,42,round 4,53.344,31
